County,"# of Deaths",County Population1,Rate2
Adams,23,"102,811",22.4
Allegheny,287,"1,218,452",23.6
Armstrong,9,"65,263",13.8
Beaver,95,"164,742",57.7
Bedford,5,"48,176",10.4
Berks,376,"420,152",89.5
Blair,8,"122,492",6.5
Bradford,3,"60,833",4.9
Bucks,584,"628,195",93.0
Butler,17,"187,888",9.0
Cambria,3,"131,730",2.3
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,350,"522,046",67.0
Clarion,3,"38,779",7.7
Clearfield,1,"79,388",1.3
Clinton,5,"38,684",12.9
Columbia,35,"65,456",53.5
Crawford,2,"85,063",2.4
Cumberland,71,"251,423",28.2
Dauphin,161,"277,097",58.1
Delaware,718,"564,751",127.1
Elk,2,"30,169",6.6
Erie,28,"272,061",10.3
Fayette,6,"130,441",4.6
Franklin,46,"154,835",29.7
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,5,"45,168",11.1
Indiana,9,"84,501",10.7
Jefferson,1,"43,641",2.3
Juniata,6,"24,704",24.3
Lackawanna,213,"210,793",101.0
Lancaster,427,"543,557",78.6
Lawrence,16,"86,184",18.6
Lebanon,56,"141,314",39.6
Lehigh,342,"368,100",92.9
Luzerne,185,"317,646",58.2
Lycoming,20,"113,664",17.6
McKean,1,"40,968",2.4
Mercer,12,"110,683",10.8
Mifflin,1,"46,222",2.2
Monroe,127,"169,507",74.9
Montgomery,861,"828,604",103.9
Montour,3,"18,240",16.4
Northampton,296,"304,807",97.1
Northumberland,22,"91,083",24.2
Perry,5,"46,139",10.8
Philadelphia,1758,"1,584,138",111.0
Pike,21,"55,933",37.5
Schuylkill,51,"142,067",35.9
Snyder,2,"40,540",4.9
Somerset,3,"73,952",4.1
Susquehanna,27,"40,589",66.5
Tioga,3,"40,763",7.4
Union,3,"44,785",6.7
Warren,1,"39,498",2.5
Washington,22,"207,346",10.6
Wayne,10,"51,276",19.5
Westmoreland,49,"350,611",14.0
Wyoming,8,"27,046",29.6
York,112,"448,273",25.0
