County,"# of Deaths",County Population1,Rate2
Adams,23,"102,811",22.4
Allegheny,296,"1,218,452",24.3
Armstrong,9,"65,263",13.8
Beaver,96,"164,742",58.3
Bedford,5,"48,176",10.4
Berks,378,"420,152",90.0
Blair,9,"122,492",7.3
Bradford,3,"60,833",4.9
Bucks,585,"628,195",93.1
Butler,17,"187,888",9.0
Cambria,3,"131,730",2.3
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,352,"522,046",67.4
Clarion,3,"38,779",7.7
Clearfield,1,"79,388",1.3
Clinton,5,"38,684",12.9
Columbia,35,"65,456",53.5
Crawford,2,"85,063",2.4
Cumberland,72,"251,423",28.6
Dauphin,161,"277,097",58.1
Delaware,721,"564,751",127.7
Elk,2,"30,169",6.6
Erie,30,"272,061",11.0
Fayette,6,"130,441",4.6
Franklin,46,"154,835",29.7
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,5,"45,168",11.1
Indiana,9,"84,501",10.7
Jefferson,1,"43,641",2.3
Juniata,6,"24,704",24.3
Lackawanna,213,"210,793",101.0
Lancaster,428,"543,557",78.7
Lawrence,17,"86,184",19.7
Lebanon,56,"141,314",39.6
Lehigh,342,"368,100",92.9
Luzerne,187,"317,646",58.9
Lycoming,20,"113,664",17.6
McKean,1,"40,968",2.4
Mercer,13,"110,683",11.7
Mifflin,1,"46,222",2.2
Monroe,127,"169,507",74.9
Montgomery,862,"828,604",104.0
Montour,4,"18,240",21.9
Northampton,297,"304,807",97.4
Northumberland,30,"91,083",32.9
Perry,5,"46,139",10.8
Philadelphia,1759,"1,584,138",111.0
Pike,21,"55,933",37.5
Schuylkill,51,"142,067",35.9
Snyder,2,"40,540",4.9
Somerset,3,"73,952",4.1
Susquehanna,27,"40,589",66.5
Tioga,3,"40,763",7.4
Union,4,"44,785",8.9
Venango,1,"51,266",2.0
Warren,1,"39,498",2.5
Washington,24,"207,346",11.6
Wayne,10,"51,276",19.5
Westmoreland,49,"350,611",14.0
Wyoming,8,"27,046",29.6
York,116,"448,273",25.9
